tau,mag
-39.935679871359746,1.0608134342864322
-39.935519871039745,1.060814143211627
-39.935359870719736,1.0608148518871747
-39.93519987039974,1.0608155609371932
-39.93503987007974,1.0608162699352017
-39.93487986975974,1.0608169788499948
-39.93471986943974,1.0608176878271995
-39.93455986911974,1.0608183966275708
-39.93439986879974,1.0608191053967362
-39.934239868479736,1.06081981463399
-39.934079868159735,1.0608205236840085
-39.933919867839734,1.0608212324739779
-39.93375986751973,1.060821941336761
-39.93359986719974,1.0608226503243676
-39.93343986687974,1.0608233595616214
-39.93327986655973,1.0608240685284243
-39.933119866239736,1.0608247776096487
-39.932959865919734,1.0608254862643924
-39.93279986559973,1.0608261953872247
-39.932639865279725,1.0608269045620666
-39.93247986495973,1.0608276137785166
-39.93231986463973,1.0608283228285351
-39.93215986431973,1.0608290318473477
-39.93199986399973,1.060829740907768
-39.93183986367973,1.0608304499577865
-39.931679863359726,1.0608311591118247
-39.931519863039725,1.060831868203451
-39.931359862719724,1.0608325772742735
-39.93119986239972,1.060833286615547
-39.93103986207972,1.0608339958736048
-39.93087986175973,1.0608347047883977
-39.93071986143973,1.0608354140984653
-39.93055986111972,1.0608361232941113
-39.930399860799724,1.060836832323326
-39.93023986047972,1.0608375415813835
-39.93007986015972,1.0608382508394414
-39.929919859839714,1.0608389598894599
-39.92975985951972,1.0608396695115865
-39.92959985919972,1.0608403783639677
-39.92943985887972,1.0608410876948393
-39.92927985855972,1.0608417970673187
-39.929119858239716,1.0608425062733666
-39.928959857919715,1.0608432154794145
-39.928799857599714,1.0608439246854626
-39.92863985727971,1.0608446341619617
-39.92847985695971,1.060845343284794
-39.92831985663971,1.0608460528237047
-39.928159856319716,1.0608467619985469
-39.927999855999715,1.0608474712462026
-39.92783985567971,1.060848180701898
-39.92767985535971,1.0608488900847792
-39.92751985503971,1.0608495993636409
-39.92735985471971,1.0608503090481793
-39.92719985439971,1.0608510182854332
-39.92703985407971,1.0608517277203244
-39.92687985375971,1.0608524371032058
-39.92671985343971,1.0608531466109108
-39.926559853119706,1.0608538559937921
-39.926399852799705,1.0608545654598893
-39.9262398524797,1.0608552748115647
-39.9260798521597,1.0608559844024856
-39.9259198518397,1.0608566938581807
-39.9257598515197,1.0608574033658857
-39.925599851199706,1.060858112759169
-39.925439850879705,1.0608588223292859
-39.925279850559704,1.060859531753775
-39.925119850239696,1.060860241271882
-39.9249598499197,1.0608609508836067
-39.9247998495997,1.0608616605265373
-39.9246398492797,1.0608623699406245
-39.9244798489597,1.0608630793963196
-39.9243198486397,1.0608637890392503
-39.9241598483197,1.0608644986509748
-39.923999847999696,1.0608652081690817
-39.923839847679695,1.0608659178744242
-39.92367984735969,1.0608666273405212
-39.92351984703969,1.0608673370146577
-39.92335984671969,1.0608680466679903
-39.92319984639969,1.0608687561964991
-39.92303984607969,1.0608694659954592
-39.922879845759695,1.0608701756175858
-39.922719845439694,1.0608708854373496
-39.92255984511969,1.0608715949762606
-39.922399844799685,1.060872304650397
-39.92223984447969,1.0608730143037295
-39.92207984415969,1.0608737240922876
-39.92191984383969,1.0608744339432574
-39.92175984351969,1.0608751437214137
-39.92159984319969,1.0608758533747462
-39.921439842879686,1.060876563173706
-39.921279842559684,1.060877272681411
-39.92111984223968,1.060877982532381
-39.92095984191968,1.0608786924977724
-39.92079984159968,1.0608794023487425
-39.92063984127968,1.060880111960467
